sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S165,2,F10,Cin,FALSE,1,2,Sample,FALSE,0,0.10021048027772463,0,0,0.10021048027772463,FALSE,FALSE,FALSE
S166,2,G10,Plu,FALSE,100,2,Sample,FALSE,0,0,0.002545367,0.002545367,0,TRUE,TRUE,TRUE
S167,2,H10,Plu,TRUE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S168,2,A11,Cin,TRUE,1,2,Sample,FALSE,5.803830528148578e-4,0,0,5.803830528148578e-4,0,TRUE,TRUE,TRUE
S169,2,B11,Cin,FALSE,100,2,Sample,FALSE,0.7770915698745181,0,0,0.7770915698745181,0,TRUE,TRUE,TRUE
S85,1,A12,Plu,FALSE,1,2,Sample,FALSE,0,0.004553926,0,0,0.004553926,FALSE,FALSE,FALSE
S86,1,B12,Plu,TRUE,1,2,Sample,FALSE,1.3973229620917925e-4,0.12210856034979652,0,0,0.1222482926460057,FALSE,FALSE,FALSE
S87,1,C12,Cry,FALSE,100,2,Sample,FALSE,0,0.001564945,0,0.001564945,0,TRUE,TRUE,TRUE
S88,1,D12,Cin,TRUE,100,2,Sample,FALSE,0.8363362562968095,0,0,0.8363362562968095,0,TRUE,TRUE,TRUE
S89,1,E12,Cry,TRUE,100,2,Sample,FALSE,0,0.006221204,0,0.006221204,0,TRUE,TRUE,TRUE
S90,1,F12,Cry,TRUE,100,2,Sample,FALSE,3.4310447971284795e-4,0.020207974100010555,0,0.020207974100010555,3.4310447971284795e-4,TRUE,FALSE,FALSE
S91,2,A01,Control,FALSE,0,2,Sample,FALSE,3.655119197498274e-4,0,0,NA,3.655119197498274e-4,FALSE,FALSE,FALSE
S92,2,B01,Cry,FALSE,1,2,Sample,FALSE,6.109387121799845e-4,0,0,0,6.109387121799845e-4,FALSE,FALSE,FALSE
S93,2,C01,Cin,FALSE,100,2,Sample,FALSE,0.852472462,0,0,0.852472462,0,TRUE,TRUE,TRUE
S94,2,D01,Control,FALSE,0,2,Sample,FALSE,0.00127311,0,0,NA,0.00127311,FALSE,FALSE,FALSE
S95,2,E01,Control,TRUE,0,2,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S96,2,F01,Cin,TRUE,1,2,Sample,FALSE,0.071269303,0,0,0.071269303,0,TRUE,TRUE,TRUE
S97,2,G01,Cin,TRUE,100,2,Sample,FALSE,0.8482128400259068,0,0,0.8482128400259068,0,TRUE,TRUE,TRUE
