Species,Number of sequences
Alternaria_anigozanthi,1
Alternaria_argyranthemi,1
Alternaria_armoraciae,1
Alternaria_atra,1
Alternaria_axiaeriisporifera,1
Alternaria_azadirachtae,1
Alternaria_botryospora,1
Alternaria_botrytis,1
Alternaria_brassicae,2
Alternaria_brassicicola,3
Alternaria_breviramosa,1
Alternaria_calendulae,1
Alternaria_caricicola,1
Alternaria_caricis,1
Alternaria_carotiincultae,1
Alternaria_celosiicola,1
Alternaria_chlamydospora,1
Alternaria_chlamydosporigena,1
Alternaria_conidiophora,1
Alternaria_consortialis,1
Alternaria_cypericola,1
Alternaria_dennisii,1
Alternaria_deserticola,1
Alternaria_destruens,1
Alternaria_dianthicola,1
Alternaria_didymospora,1
Alternaria_eichhorniae,1
Alternaria_elegans,1
Alternaria_ellipsoidea,1
Alternaria_eureka,1
Alternaria_gansuensis,1
Alternaria_geniostomatis,1
Alternaria_gomphrenae,1
Alternaria_helianthiinficiens,1
Alternaria_heyranica,1
Alternaria_hungarica,1
Alternaria_indefessa,1
Alternaria_japonica,3
Alternaria_junci-acuti,1
Alternaria_juxtiseptata,1
Alternaria_kareliniae,1
Alternaria_leptinellae,1
Alternaria_limicola,1
Alternaria_lolii,1
Alternaria_macrospora,2
Alternaria_metachromatica,1
Alternaria_mirabibensis,1
Alternaria_molesta,1
Alternaria_multirostrata,1
Alternaria_nepalensis,1
Alternaria_nitrimali,1
Alternaria_novae-guineensis,1
Alternaria_obclavata,1
Alternaria_omanensis,1
Alternaria_papavericola,2
Alternaria_perpunctulata,1
Alternaria_petuchovskii,1
Alternaria_photistica,1
Alternaria_pipionipisi,1
Alternaria_planifunda,1
Alternaria_pobletensis,1
Alternaria_proteae,1
Alternaria_prunicola,1
Alternaria_pseudorostrata,1
Alternaria_rosae,1
Alternaria_rostellata,1
Alternaria_selini,1
Alternaria_sennae,1
Alternaria_sidae,1
Alternaria_soliaridae,1
Alternaria_sonchi,1
Alternaria_sp,26
Alternaria_steviae,1
Alternaria_subcucurbitae,1
Alternaria_tenuissima,3
Alternaria_thalictrigena,1
Alternaria_thlaspis,1
Alternaria_thunbergiae,1
Alternaria_tillandsiae,1
Alternaria_tropaeoli,1
Alternaria_tropica,1
Alternaria_vaccariicola,1
Alternaria_venezuelensis,1
Alternariaster_bidentis,1
Alternariaster_centaureae-diffusae,1
Alternariaster_helianthi,2
Alternariaster_trigonosporus,1
Alutaceodontia_alutacea,1
Amandinea_cacuminum,1
Amandinea_coniops,1
Amandinea_lecideina,1
Amandinea_punctata,1
Amandinea_sp,2
Amanita_abrupta,1
Amanita_ahmadii,1
Amanita_albidostipes,1
Amanita_albocreata,1
Amanita_alboflavescens,1
Amanita_albolimbata,1
Amanita_alpinicola,1
Amanita_alseides,1
Amanita_altipes,1
Amanita_amerivirosa,1
Amanita_annulata,1
Amanita_aporema,2
Amanita_aprica,1
Amanita_arctica,1
Amanita_arenaria,3
Amanita_arenarioides,2
Amanita_arenicola,1
Amanita_atkinsoniana,1
Amanita_augusta,1
Amanita_aureofloccosa,1
Amanita_ballerina,2
Amanita_basiana,1
Amanita_basiorubra,2
Amanita_battarrae,2
Amanita_beckeri,2
Amanita_betulae,1
Amanita_bingensis,1
Amanita_bisporigera,1
Amanita_breckonii,1
Amanita_brunneitoxicaria,1
Amanita_brunneolimbata,1
Amanita_brunneomaculata,1
Amanita_brunneoprocera,1
Amanita_brunneosquamata,1
Amanita_brunneostrobilipes,1
Amanita_brunnescens,1
Amanita_bweyeyensis,1
Amanita_caesarea,1
Amanita_caesareoides,1
Amanita_calida,1
Amanita_calyptratoides,1
Amanita_calyptroderma,2
Amanita_campinaranae,1
Amanita_canescens,1
Amanita_caojizong,1
Amanita_carneiphylla,5
Amanita_castanea,1
Amanita_ceciliae,5
Amanita_changtuia,1
