"","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"131","S69",1,"H09","Plu",FALSE,1,1,"Sample",FALSE,0.000552802511302837,0,0,0,0.000552802511302837,FALSE,FALSE,FALSE,50623,131,2.37088818811872,3.50213590760651
"132","S7",1,"G01","Cry",TRUE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,76937,127,2.09863322315233,3.91345840542486
"133","S70",1,"A10","Plu",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,76768,144,2.55344476618138,5.24241576106458
"134","S72",1,"D10","Plu",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,119130,129,2.14397051655983,4.75713123775323
"135","S73",1,"E10","Control",FALSE,0,1,"Sample",FALSE,0.00460577509516499,0,0,NA,0.00460577509516499,FALSE,FALSE,FALSE,47330,85,2.44323084320638,7.34195467377344
"136","S74",1,"F10","Control",TRUE,0,1,"Sample",FALSE,0,0.181841066270966,0,NA,0.181841066270966,FALSE,FALSE,FALSE,61753,85,1.09161215887401,1.61920968813711
"137","S76",1,"H10","Cin",FALSE,1,1,"Sample",FALSE,0.00453500652295459,0.0753929303596944,0,0.00453500652295459,0.0753929303596944,TRUE,FALSE,FALSE,74052,137,2.44032732599682,5.01996029399689
"138","S77",1,"A11","Plu",FALSE,100,1,"Sample",FALSE,0,0,0.0295221108309244,0.0295221108309244,0,TRUE,TRUE,TRUE,78895,231,3.63042310791778,16.2897079361593
"139","S78",1,"B11","Control",FALSE,0,1,"Sample",FALSE,0.000141926510452887,0,0,NA,0.000141926510452887,FALSE,FALSE,FALSE,70449,126,2.32718645305086,6.1672521355871
"140","S79",1,"C11","Control",TRUE,0,1,"Sample",FALSE,0,0.000800604901481119,0,NA,0.000800604901481119,FALSE,FALSE,FALSE,89860,164,2.09534500110699,2.83278501657074
"141","S8",1,"H01","Cin",TRUE,100,1,"Sample",FALSE,0.829962222572013,0,0,0.829962222572013,0,TRUE,TRUE,TRUE,17284,71,2.50320401029845,4.55818726824874
"142","S80",1,"D11","Cry",TRUE,1,1,"Sample",FALSE,0.000193472714301261,0,0,0,0.000193472714301261,FALSE,FALSE,FALSE,82683,146,1.67133035202924,2.16419687350858
"143","S81",1,"E11","Cin",FALSE,100,1,"Sample",FALSE,0.437598110619281,0,0,0.437598110619281,0,TRUE,TRUE,TRUE,39768,97,2.59361193556896,6.48559406756313
"144","S82",1,"F11","Cry",TRUE,100,1,"Sample",FALSE,0,0.00516688831236783,0,0.00516688831236783,0,TRUE,TRUE,TRUE,91264,154,2.9822774963475,10.5252267367047
